id,age,sex,edu,polviews_10,issue,type,opinion,mf,value
9,37,Female,7,2,abdefect,against,0,Harm,0
56,30,Female,7,9,abdefect,against,0,Harm,1
162,20,Male,4,3,abdefect,against,0,Harm,1
82,26,Female,4,4,abdefect,against,0,Harm,0
188,47,Male,10,2,abdefect,against,0,Harm,0
73,32,Female,2,4,abdefect,against,0,Harm,0
168,20,Female,7,5,abdefect,against,0,Harm,0
22,42,Female,10,5,abhlth,against,0,Harm,0
180,36,Male,7,2,abhlth,against,0,Harm,0
111,27,Male,7,0,abhlth,against,0,Harm,1
82,26,Female,4,4,abhlth,against,0,Harm,0
48,23,Female,3,7,abhlth,against,0,Harm,0
76,28,Female,4,5,abhlth,against,0,Harm,0
120,27,Female,7,5,abhlth,against,0,Harm,0
168,20,Female,7,5,abhlth,against,0,Harm,1
49,29,Female,3,2,abhlth,against,0,Harm,1
217,23,Female,4,3,abhlth,against,0,Harm,1
203,29,Male,7,3,abhlth,against,0,Harm,1
50,22,Male,7,4,abhlth,against,0,Harm,0
86,78,Male,8,6,abhlth,against,0,Harm,0
154,28,Male,4,2,abhlth,against,0,Harm,1
89,25,Female,3,4,abrape,against,0,Harm,1
121,40,Male,6,6,abrape,against,0,Harm,1
62,24,Male,4,8,abrape,against,0,Harm,0
31,21,Female,4,7,abrape,against,0,Harm,0
67,25,Female,3,5,abrape,against,0,Harm,1
132,26,Female,7,7,abrape,against,0,Harm,0
207,25,Male,7,7,abrape,against,0,Harm,1
95,22,Female,2,1,abrape,against,0,Harm,1
33,23,Female,4,6,abrape,against,0,Harm,0
120,27,Female,7,5,abrape,against,0,Harm,0
96,46,Female,8,2,abrape,against,0,Harm,0
181,20,Female,3,6,abrape,against,0,Harm,0
154,28,Male,4,2,abrape,against,0,Harm,0
69,19,Male,3,8,cappun,against,0,Harm,0
29,22,Male,3,4,cappun,against,0,Harm,0
205,21,Female,3,5,cappun,against,0,Harm,0
164,33,Male,8,6,suicide1,against,0,Harm,0
187,44,Male,6,5,suicide1,against,0,Harm,0
31,21,Female,4,7,suicide1,against,0,Harm,0
9,37,Female,7,2,suicide1,against,0,Harm,0
75,31,Female,7,3,suicide1,against,0,Harm,0
194,51,Female,4,4,suicide1,against,0,Harm,0
33,23,Female,4,6,suicide1,against,0,Harm,0
196,37,Male,7,8,suicide1,against,0,Harm,0
49,29,Female,3,2,suicide1,against,0,Harm,1
214,44,Female,8,0,suicide1,against,0,Harm,0
